dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
0.000009,udp,-,INT,2,0,114,0,111111.1,254,0,50000000,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,25,2,15,15,15,25,0,0,0,15,25,0
0.000008,udp,-,INT,2,0,114,0,200000.0,254,0,57000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,25,2,15,15,15,25,0,0,0,15,25,0
1.2,tcp,-,INT,14,0,5000,0,0.5,254,0,2000,0,0,0,5.0,0.0,100,0,255,10,0,0,0,0,0,357,0,0,0,10,2,5,5,1,10,0,0,0,5,10,0
2.5,tcp,-,INT,20,0,8000,0,10.0,254,0,5000,0,2,0,0.5,0,500,0,255,50,0,0,0,0,0,400,0,0,0,8,1,4,4,1,8,0,0,0,4,8,0
0.00001,udp,-,INT,2,0,180,0,100000.0,254,0,90000000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,90,0,0,0,30,2,20,20,20,30,0,0,0,20,30,0
0.5,tcp,http,FIN,100,10,50000,200,200.0,62,252,800000,200,5,1,1.0,1.0,2000,10,255,1000,2000,255,0.05,0.02,0.03,500,20,1,0,12,1,5,5,1,12,0,0,1,5,12,0
1.9,tcp,ftp,CON,20,4,8000,200,10.0,62,252,5000,200,2,1,0.5,0.5,500,20,255,50,50,255,0.1,0.05,0.05,400,50,0,0,8,1,4,4,1,8,1,1,0,4,8,0
0.9,tcp,smtp,FIN,50,5,25000,100,55.0,254,29,200000,800,4,0,5.0,5.0,400,10,255,300,500,255,0.05,0.02,0.03,500,20,0,0,7,1,3,3,1,7,0,0,0,3,7,0
0.000005,udp,-,INT,2,0,60,0,200000.0,254,0,60000000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,30,0,0,0,40,2,25,25,25,40,0,0,0,25,40,0
0.4,tcp,http,FIN,80,8,40000,150,180.0,62,252,700000,150,4,1,1.0,1.0,1500,10,255,900,1800,255,0.05,0.02,0.03,500,19,1,0,10,1,4,4,1,10,0,0,1,4,10,0
0.00001,udp,-,INT,2,0,200,0,100000.0,254,0,100000000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,100,0,0,0,35,2,22,22,22,35,0,0,0,22,35,0
1.5,tcp,-,INT,18,0,6000,0,5.0,254,0,3000,0,0,0,4.0,0.0,120,0,255,20,0,0,0,0,0,333,0,0,0,9,2,6,6,1,9,0,0,0,6,9,0
2.1,tcp,-,INT,22,0,9000,0,11.0,254,0,4000,0,2,0,0.6,0,550,0,255,60,0,0,0,0,0,409,0,0,0,7,1,5,5,1,7,0,0,0,5,7,0
0.000007,udp,-,INT,2,0,150,0,150000.0,254,0,80000000,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,75,0,0,0,28,2,18,18,18,28,0,0,0,18,28,0
0.6,tcp,http,FIN,120,12,60000,250,220.0,62,252,900000,250,6,1,1.0,1.0,2200,12,255,1100,2200,255,0.05,0.02,0.03,500,21,1,0,14,1,6,6,1,14,0,0,1,6,14,0
